Iteration,Finetune Loss,Finetune Accuracy
0,3.196929931640625,0.16682184128375047
1,3.007730722427368,0.1555397338298921
2,2.814596652984619,0.15154170546032095
3,2.74701189994812,0.15197984555561642
4,2.6903152465820312,0.1511583328769374
5,2.5884201526641846,0.15537543129415632
6,2.6178855895996094,0.18505942275042445
7,2.5642848014831543,0.17229859247494386
8,2.435624122619629,0.17010789199846651
9,2.488577127456665,0.17290103510597513
10,2.4296715259552,0.17761104113040144
11,2.4237542152404785,0.1984226956569363
12,2.3427045345306396,0.27290651185716636
13,2.307002067565918,0.3173229640177447
14,2.282311201095581,0.33052193438852073
15,2.265861749649048,0.3267429760665973
16,2.1912431716918945,0.31929459444657426
17,2.189926862716675,0.3100936524453694
18,2.137712001800537,0.30916260474286655
19,2.0999257564544678,0.3116271427789036
20,2.0685086250305176,0.3160633112437702
21,1.9165010452270508,0.31891122186319076
22,1.9490724802017212,0.3201161071252533
23,1.9493404626846313,0.37630757434689743
24,1.8914434909820557,0.38572758639575006
25,1.8802599906921387,0.38578235390766197
26,1.7684398889541626,0.38769921682457964
27,1.7873883247375488,0.3939427131825401
28,1.87847101688385,0.45407744126184346
29,1.8865330219268799,0.4518319732734542
30,1.8064773082733154,0.4418095185935703
31,1.6518361568450928,0.42324333205542475
32,1.6820464134216309,0.36376581411906456
33,1.6844569444656372,0.3298647242455775
34,1.6517322063446045,0.31600854373185827
35,1.6173653602600098,0.2697299961662742
36,1.5927011966705322,0.251656717235336
37,1.6881800889968872,0.261569636891396
38,1.6139079332351685,0.27290651185716636
39,1.6627715826034546,0.27208499917848733
40,1.6146479845046997,0.29694944958650527
41,1.497091293334961,0.302152363218139
42,1.563875436782837,0.3082863245522756
43,1.4984869956970215,0.3242784380305603
44,1.5053753852844238,0.34158497179473135
45,1.4835010766983032,0.3740621063585081
46,1.4697147607803345,0.37460978147762747
47,1.4728209972381592,0.3852346787885426
48,1.3889724016189575,0.395695273563722
49,1.4535858631134033,0.3701188455008489
50,1.4738543033599854,0.3408182266279643
51,1.3959490060806274,0.34109206418752397
52,1.3501111268997192,0.34043485404458074
53,1.4180142879486084,0.33912043375869433
54,1.4102259874343872,0.33901089873487045
55,1.510878086090088,0.33002902678131335
56,1.4536592960357666,0.3213757598992278
57,1.3490055799484253,0.31644668382715374
58,1.4001057147979736,0.3152965660770031
59,1.5209742784500122,0.32066378224437264
60,1.4876718521118164,0.3282216988882195
61,1.4324736595153809,0.34174927433046715
62,1.425421953201294,0.35451010460594773
63,1.3650634288787842,0.38446793362177556
64,1.408732295036316,0.3828796757763295
65,1.3631564378738403,0.37247384851306203
66,1.3582923412322998,0.3722547784654143
67,1.424351453781128,0.3913138726107673
68,1.3687124252319336,0.4034174927433047
69,1.3084290027618408,0.41842379100717453
70,1.42047917842865,0.41798565091187906
71,1.3156406879425049,0.42329809956733666
72,1.2939471006393433,0.42614601018675724
73,1.3440955877304077,0.4212717016265951
74,1.3945679664611816,0.40161016485021084
75,1.299364447593689,0.3853989813242784
76,1.3886598348617554,0.37778629716851964
77,1.3305715322494507,0.38025083520455666
78,1.3055976629257202,0.3853989813242784
79,1.4507142305374146,0.3704474505723205
80,1.2732495069503784,0.34985486609343336
81,1.4013400077819824,0.341037296675612
82,1.4313775300979614,0.3397228763897256
83,1.3536045551300049,0.34120159921134785
84,1.3046391010284424,0.3411468316994359
85,1.3862926959991455,0.3422421819376746
86,1.3155572414398193,0.34399474231885646
87,1.4014135599136353,0.33994194643737335
88,1.289302945137024,0.33156251711484747
89,1.3077502250671387,0.3244427405662961
90,1.3398414850234985,0.3310696095076401
91,1.33059561252594,0.3397228763897256
92,1.2759472131729126,0.3731858261679172
93,1.2932347059249878,0.39136864012267925
94,1.2738709449768066,0.40451284298154333
95,1.283280849456787,0.41957390875732514
96,1.305298089981079,0.44137137849827485
97,1.2295749187469482,0.44531463935593407
98,1.329890489578247,0.44465742921299084
99,1.3983832597732544,0.4465742921299085
100,1.2274271249771118,0.45133906566624676
101,1.375409483909607,0.44022126074812423
102,1.271822452545166,0.42198367928145025
103,1.2729820013046265,0.3981050440878471
104,1.3915132284164429,0.3881373569198751
105,1.2927415370941162,0.3838654909907443
106,1.3020156621932983,0.37844350731146287
107,1.2809520959854126,0.37247384851306203
108,1.2577619552612305,0.3671613998576045
109,1.4073716402053833,0.3644230242620078
110,1.2305864095687866,0.3597677857494934
111,1.2264587879180908,0.3557697573799222
112,1.2408033609390259,0.3571389451777206
113,1.29445219039917,0.359274878142286
114,1.3587864637374878,0.3684210526315789
